SlNo,Barcode,Item Name,Size,Party Name,P.Price,S.Price,Qty,Amount,HSNCode,EAN CODE
70,2051,RAGU PIZZA SAUCE 397G,,MAHAVIR,150.00,230.00,3,418.43,,036200005507
71,2055,MENTOOS MINT 37G,,local purchase,16.25,25.00,7,113.76,,8990800100012
72,2059,SAFFRON SPAIN 1GM,,local purchase,280.00,450.00,7,1960.00,,  
73,2061,pvc pouch baby,,Packing Materials,12.00,20.00,14,168.00,,  
74,2062,pvc pouch,,local purchase,15.00,20.00,256,3328.00,,  
75,2064,Saffron 1/2 Gm,,APMC,80.00,199.00,16,1280.00,,8908002180305
76,2065,nutelLA  FERRERO 180g,,A ONE SANDEEP,165.00,240.00,8,1320.06,,80177425
77,2088,CHOCOLATE DATE ALMONDS 140G,,jublee,65.00,140.00,11,715.00,,  
78,2091,KHAJOOR DRY FRUITS ROLL 250G,,m/s new royal,150.00,210.00,2,300.00,,  
79,2098,HARVEYS PENUT BUTTER,,MAHAVIR,80.00,140.00,1,80.00,,8906037694705
80,2099,HARVEYS CRUNCHY,,MAHAVIR,80.00,140.00,1,80.00,,8906037694712
81,2100,SOUR PUNK TAMARIND,,local purchase,20.41,30.00,9,183.70,,8850632607663
82,2104,PRINGLES SALT VINEGAR,,A ONE SANDEEP,108.00,170.00,5,540.03,,038000844997
83,2107,ROST MUKAVAS,,MUKHWASH,250.00,400.00,5,1309.50,,  
84,2108,JANTA MUKAVAS,,MUKHWASH,155.00,300.00,6,859.94,,  
85,2110,VEGA RICA NON ALCOHOLIC WINE,,A ONE SANDEEP,210.00,320.00,1,210.00,,8432286006131
86,2111,GLASS BOWL,,local purchase,120.00,200.00,2,234.53,,  
87,2112,GLASS BOWL S,,local purchase,83.33,150.00,2,162.87,,  
88,2113,GLASS LEAF,,local purchase,50.00,100.00,3,146.58,,  
89,2145,KERK VEGTABLE DELUXF CRACKERS,,MAHAVIR,110.00,145.00,10,1100.02,,9556085318734
90,2146,KERK ORIGINAL DELUXE CRACKERS,,MAHAVIR,110.00,145.00,10,1100.01,,9556085555733
91,2147,KERK KRAKER KEJU DELUXE,,A ONE SANDEEP,125.00,199.00,3,375.02,,9556085794828
92,2148,KERK DELUXE PEANUT BUTTER,,MAHAVIR,130.00,199.00,4,520.03,,9556085792923
93,2155,POTATO MSALA STICK,,APMC,150.00,300.00,0,0.30,,  
94,2157,SCHEZWAN PASTA STICK,,APMC,120.00,200.00,4,424.82,,  
95,2158,MASALA WAFERS,,APMC,120.00,250.00,3,387.36,,  
96,2163,CEVEL CHOCOLATE,,APMC,320.00,600.00,1,428.82,,  
97,2164,JELLY CANDY,,m/s new royal,60.00,100.00,9,540.00,,  
98,2171,HERSHEYS SYRUP CARAMEL 623G,,A ONE SANDEEP,160.00,200.00,3,479.96,,8901071211192
99,2172,GWB 4PG 8X8,,renz,150.00,200.00,33,4975.34,,  
100,2173,FB 4LG,,renz,45.00,80.00,38,1718.76,,  
101,2174,FB4LG 1Kgs,,renz,60.00,150.00,7,422.15,,  
102,2175,LOLIPOP STICKS,,local purchase,7.70,10.00,42,323.47,,  
103,2178,BEE CLASSIC PREMIUM,,M/S LivRite Foods LLP,166.67,250.00,3,500.01,,8908006921003
104,2179,BEE RAW KASHMIRI HONEY,,M/S LivRite Foods LLP,266.67,400.00,5,1333.60,,8908006921072
105,2180,BEE CLASSIC PREMIUM 400ML,,M/S LivRite Foods LLP,256.67,385.00,3,770.16,,8908006921010
106,2181,BEE KASHMIRI PREMIUM HONEY,,M/S LivRite Foods LLP,360.00,540.00,3,1080.00,,8908006921034
107,2182,BELICIOUS KASHMIRI PREMIUM HONEY,,M/S LivRite Foods LLP,233.33,350.00,5,1166.67,,8908006921027
108,2183,BOUNTY MINT BAG 270G,,prathamesh enterprise,171.74,229.00,5,772.88,1806,5000159473279
109,2193,FANTA GRAPE 330ML,,MAHAVIR,52.08,75.00,2,104.17,,8888002084004
110,2208,FOXS BERRIES 38G,,local purchase,22.91,40.00,1,22.91,,8992696420014
111,2209,JellyBarbecue Sticks,,local purchase,11.66,20.00,102,1189.28,,  
112,2220,DOLPHIN FRUITY LOOSE,,anandi bai,3.96,10.00,100,395.83,,  
113,2236,chiko milk,,anandi bai,202.00,299.00,14,2828.00,,9501034777759
114,2237,CHIKO ECLRS.HONY 750G,,anandi bai,202.00,299.00,13,2626.00,,9501034777520
115,2238,chiko herzelnut,,anandi bai,202.00,299.00,13,2626.00,,9501034777513
116,2239,CHIKO ECLR CHOCO 750,,anandi bai,202.00,299.00,19,3838.00,,9501034778008
117,2240,ASSOURTED TOFFEES 800G,,anandi bai,155.00,250.00,9,1395.00,,9501034830010
118,2243,CKIKO BUTTER TOPS,,anandi bai,202.00,290.00,15,3030.00,,9501034697521
119,2253,SOUR PUNK COLA,,jublee,18.33,30.00,1,18.33,,8850632600367
120,2255,HERSHEYS CREAM CHOCOLATE,,MAHAVIR,58.33,100.00,36,2099.91,,753854500102
121,2284,FANCY BYCICAL S,,jublee,90.00,165.00,7,630.03,,  
122,2285,FANCY BYCICAL (S),,local purchase,150.00,200.00,1,150.00,,  
123,2286,FANCY S TRAY,,local purchase,50.00,100.00,1,50.00,,  
124,2296,APRICOT JARDALU SMALL,,APMC,710.00,1100.00,9,6074.76,,  
125,2305,PRINGLES SALT VINEGAR 165G,,A ONE SANDEEP,120.00,170.00,3,360.00,,5053990101580
126,2328,TANG MIX FRUIT 84G,,local purchase,45.00,80.00,3,135.02,,7622210382450
127,2329,TANG MANGO 84G,,jublee,45.00,80.00,1,45.00,,7622210382412
128,2331,LOVE HEART,,A ONE SANDEEP,0.49,1.00,1343,658.07,,  
129,2341,AMERICAN WITE GRAPE,,local purchase,50.00,75.00,4,200.01,,8850534110445
130,2342,AMERICAN STRAWBERRY 300ML,,local purchase,50.00,95.00,6,300.02,,8859032701278
131,2343,american mango,,A ONE SANDEEP,50.00,75.00,2,100.00,,8850534112944
